                       g_value (photons/atom/s)
Velocity (km/s)      4045.28 A           4048.35 A
    -50.0          2.478404e-01        1.364641e-01
    -49.9          2.479345e-01        1.362903e-01
    -49.8          2.480286e-01        1.361165e-01
    -49.7          2.481340e-01        1.359428e-01
    -49.6          2.482730e-01        1.357690e-01
    -49.5          2.484121e-01        1.355906e-01
    -49.4          2.485511e-01        1.354063e-01
    -49.3          2.486902e-01        1.352221e-01
    -49.2          2.488292e-01        1.350379e-01
    -49.1          2.489683e-01        1.348536e-01
    -49.0          2.491074e-01        1.346694e-01
    -48.9          2.492502e-01        1.344851e-01
    -48.8          2.493937e-01        1.343005e-01
    -48.7          2.495373e-01        1.341038e-01
    -48.6          2.496809e-01        1.339070e-01
    -48.5          2.498244e-01        1.337102e-01
    -48.4          2.499680e-01        1.335134e-01
    -48.3          2.501115e-01        1.333166e-01
    -48.2          2.502366e-01        1.331198e-01
    -48.1          2.503352e-01        1.329230e-01
    -48.0          2.504338e-01        1.327172e-01
    -47.9          2.505324e-01        1.325058e-01
    -47.8          2.506310e-01        1.322943e-01
    -47.7          2.507296e-01        1.320829e-01
    -47.6          2.508283e-01        1.318715e-01
    -47.5          2.509269e-01        1.316600e-01
    -47.4          2.509316e-01        1.314486e-01
    -47.3          2.509358e-01        1.312308e-01
    -47.2          2.509400e-01        1.309880e-01
    -47.1          2.509442e-01        1.307452e-01
    -47.0          2.509484e-01        1.305024e-01
    -46.9          2.509526e-01        1.302596e-01
    -46.8          2.509568e-01        1.300168e-01
    -46.7          2.508963e-01        1.297740e-01
    -46.6          2.507882e-01        1.295312e-01
    -46.5          2.506800e-01        1.292652e-01
    -46.4          2.505719e-01        1.289931e-01
    -46.3          2.504637e-01        1.287210e-01
    -46.2          2.503555e-01        1.284489e-01
    -46.1          2.502474e-01        1.281768e-01
    -46.0          2.501215e-01        1.279047e-01
    -45.9          2.499010e-01        1.276327e-01
    -45.8          2.496805e-01        1.273598e-01
    -45.7          2.494599e-01        1.270856e-01
    -45.6          2.492394e-01        1.268114e-01
    -45.5          2.490189e-01        1.265372e-01
    -45.4          2.487984e-01        1.262631e-01
    -45.3          2.485779e-01        1.259889e-01
    -45.2          2.483175e-01        1.257147e-01
    -45.1          2.480430e-01        1.254405e-01
    -45.0          2.477685e-01        1.252249e-01
    -44.9          2.474940e-01        1.250114e-01
    -44.8          2.472195e-01        1.247979e-01
    -44.7          2.469450e-01        1.245844e-01
    -44.6          2.466706e-01        1.243709e-01
    -44.5          2.463865e-01        1.241574e-01
    -44.4          2.460821e-01        1.239439e-01
    -44.3          2.457778e-01        1.237916e-01
    -44.2          2.454734e-01        1.236890e-01
    -44.1          2.451691e-01        1.235863e-01
    -44.0          2.448647e-01        1.234837e-01
    -43.9          2.445604e-01        1.233811e-01
    -43.8          2.442514e-01        1.232785e-01
    -43.7          2.438915e-01        1.231758e-01
    -43.6          2.435317e-01        1.230922e-01
    -43.5          2.431718e-01        1.231255e-01
    -43.4          2.428119e-01        1.231588e-01
    -43.3          2.424521e-01        1.231922e-01
    -43.2          2.420922e-01        1.232255e-01
    -43.1          2.417323e-01        1.232588e-01
    -43.0          2.412649e-01        1.232921e-01
    -42.9          2.407432e-01        1.233255e-01
    -42.8          2.402216e-01        1.234257e-01
    -42.7          2.396999e-01        1.235511e-01
    -42.6          2.391782e-01        1.236764e-01
    -42.5          2.386566e-01        1.238018e-01
    -42.4          2.381349e-01        1.239272e-01
    -42.3          2.375223e-01        1.240526e-01
    -42.2          2.366321e-01        1.241779e-01
    -42.1          2.357419e-01        1.243118e-01
    -42.0          2.348517e-01        1.244644e-01
    -41.9          2.339615e-01        1.246170e-01
    -41.8          2.330713e-01        1.247695e-01
    -41.7          2.321810e-01        1.249221e-01
    -41.6          2.312908e-01        1.250746e-01
    -41.5          2.298831e-01        1.252272e-01
    -41.4          2.283681e-01        1.253797e-01
    -41.3          2.268531e-01        1.254946e-01
    -41.2          2.253381e-01        1.256053e-01
    -41.1          2.238231e-01        1.257161e-01
    -41.0          2.223081e-01        1.258268e-01
    -40.9          2.207931e-01        1.259375e-01
    -40.8          2.189391e-01        1.260482e-01
    -40.7          2.165971e-01        1.261590e-01
    -40.6          2.142552e-01        1.262217e-01
    -40.5          2.119132e-01        1.262341e-01
    -40.4          2.095713e-01        1.262465e-01
    -40.3          2.072293e-01        1.262589e-01
    -40.2          2.048874e-01        1.262713e-01
