                                 g_value (photons/atom/s)
Velocity (km/s)      4031.90 A           4034.21 A           4035.63 A
    -50.0          2.709739e+00        1.934162e+00        1.144596e+00
    -49.9          2.710316e+00        1.933038e+00        1.142847e+00
    -49.8          2.711179e+00        1.931914e+00        1.141097e+00
    -49.7          2.712666e+00        1.927398e+00        1.138856e+00
    -49.6          2.714152e+00        1.922866e+00        1.136466e+00
    -49.5          2.715639e+00        1.918333e+00        1.134076e+00
    -49.4          2.717125e+00        1.913801e+00        1.131686e+00
    -49.3          2.718612e+00        1.909269e+00        1.129296e+00
    -49.2          2.720099e+00        1.904736e+00        1.126906e+00
    -49.1          2.721585e+00        1.900204e+00        1.124517e+00
    -49.0          2.722747e+00        1.893202e+00        1.122107e+00
    -48.9          2.723861e+00        1.884231e+00        1.119659e+00
    -48.8          2.724975e+00        1.875260e+00        1.117211e+00
    -48.7          2.726089e+00        1.866288e+00        1.114763e+00
    -48.6          2.727203e+00        1.857317e+00        1.112314e+00
    -48.5          2.728317e+00        1.848346e+00        1.109866e+00
    -48.4          2.729431e+00        1.839375e+00        1.107418e+00
    -48.3          2.729746e+00        1.829850e+00        1.104970e+00
    -48.2          2.728998e+00        1.816166e+00        1.102974e+00
    -48.1          2.728249e+00        1.802483e+00        1.101031e+00
    -48.0          2.727501e+00        1.788799e+00        1.099087e+00
    -47.9          2.726753e+00        1.775116e+00        1.097144e+00
    -47.8          2.726005e+00        1.761432e+00        1.095201e+00
    -47.7          2.725257e+00        1.747749e+00        1.093258e+00
    -47.6          2.724509e+00        1.734065e+00        1.091314e+00
    -47.5          2.720821e+00        1.717637e+00        1.089773e+00
    -47.4          2.717093e+00        1.699910e+00        1.088703e+00
    -47.3          2.713365e+00        1.682183e+00        1.087634e+00
    -47.2          2.709638e+00        1.664456e+00        1.086565e+00
    -47.1          2.705910e+00        1.646729e+00        1.085495e+00
    -47.0          2.702182e+00        1.629003e+00        1.084426e+00
    -46.9          2.698454e+00        1.611276e+00        1.083357e+00
    -46.8          2.692702e+00        1.593147e+00        1.082316e+00
    -46.7          2.685249e+00        1.573749e+00        1.082470e+00
    -46.6          2.677797e+00        1.554350e+00        1.082624e+00
    -46.5          2.670345e+00        1.534951e+00        1.082778e+00
    -46.4          2.662892e+00        1.515553e+00        1.082932e+00
    -46.3          2.655440e+00        1.496154e+00        1.083086e+00
    -46.2          2.647988e+00        1.476755e+00        1.083241e+00
    -46.1          2.640165e+00        1.457356e+00        1.083395e+00
    -46.0          2.629029e+00        1.439761e+00        1.084313e+00
    -45.9          2.617894e+00        1.422612e+00        1.085768e+00
    -45.8          2.606758e+00        1.405464e+00        1.087223e+00
    -45.7          2.595623e+00        1.388315e+00        1.088678e+00
    -45.6          2.584487e+00        1.371167e+00        1.090133e+00
    -45.5          2.573351e+00        1.354018e+00        1.091588e+00
    -45.4          2.562216e+00        1.336870e+00        1.093043e+00
    -45.3          2.549475e+00        1.321915e+00        1.094669e+00
    -45.2          2.535898e+00        1.310817e+00        1.097250e+00
    -45.1          2.522321e+00        1.299719e+00        1.099832e+00
    -45.0          2.508745e+00        1.288620e+00        1.102413e+00
    -44.9          2.495168e+00        1.277522e+00        1.104995e+00
    -44.8          2.481591e+00        1.266424e+00        1.107576e+00
    -44.7          2.468015e+00        1.255325e+00        1.110157e+00
