                       g_value (photons/atom/s)
Velocity (km/s)      5891.58 A           5897.56 A
    -50.0          8.274946e+01        4.323132e+01
    -49.9          8.272736e+01        4.322164e+01
    -49.8          8.270601e+01        4.321192e+01
    -49.7          8.268497e+01        4.320177e+01
    -49.6          8.266393e+01        4.319161e+01
    -49.5          8.264289e+01        4.318145e+01
    -49.4          8.262185e+01        4.317129e+01
    -49.3          8.259845e+01        4.316109e+01
    -49.2          8.257267e+01        4.315054e+01
    -49.1          8.254690e+01        4.313998e+01
    -49.0          8.252112e+01        4.312943e+01
    -48.9          8.249534e+01        4.311888e+01
    -48.8          8.246651e+01        4.310832e+01
    -48.7          8.243495e+01        4.309729e+01
    -48.6          8.240339e+01        4.308621e+01
    -48.5          8.237182e+01        4.307513e+01
    -48.4          8.234026e+01        4.306405e+01
    -48.3          8.230821e+01        4.305297e+01
    -48.2          8.227507e+01        4.304320e+01
    -48.1          8.224193e+01        4.303353e+01
    -48.0          8.220879e+01        4.302385e+01
    -47.9          8.217565e+01        4.301417e+01
    -47.8          8.214424e+01        4.300450e+01
    -47.7          8.211619e+01        4.299447e+01
    -47.6          8.208813e+01        4.298431e+01
    -47.5          8.206008e+01        4.297415e+01
    -47.4          8.203203e+01        4.296399e+01
    -47.3          8.200290e+01        4.295383e+01
    -47.2          8.196608e+01        4.294297e+01
    -47.1          8.192927e+01        4.293190e+01
    -47.0          8.189245e+01        4.292082e+01
    -46.9          8.185564e+01        4.290974e+01
    -46.8          8.181770e+01        4.289867e+01
    -46.7          8.177352e+01        4.288661e+01
    -46.6          8.172935e+01        4.287430e+01
    -46.5          8.168517e+01        4.286199e+01
    -46.4          8.164100e+01        4.284967e+01
    -46.3          8.159753e+01        4.283736e+01
    -46.2          8.155720e+01        4.282523e+01
    -46.1          8.151688e+01        4.281323e+01
    -46.0          8.147655e+01        4.280123e+01
    -45.9          8.143623e+01        4.278923e+01
    -45.8          8.139591e+01        4.277723e+01
    -45.7          8.135186e+01        4.276504e+01
    -45.6          8.130769e+01        4.275273e+01
    -45.5          8.126351e+01        4.274042e+01
    -45.4          8.121933e+01        4.272811e+01
    -45.3          8.117516e+01        4.271580e+01
    -45.2          8.113483e+01        4.270399e+01
    -45.1          8.109451e+01        4.269292e+01
    -45.0          8.105420e+01        4.268184e+01
    -44.9          8.101388e+01        4.267077e+01
    -44.8          8.097357e+01        4.265969e+01
    -44.7          8.093311e+01        4.264846e+01
    -44.6          8.089261e+01        4.263703e+01
    -44.5          8.085211e+01        4.262559e+01
    -44.4          8.081162e+01        4.261416e+01
    -44.3          8.077112e+01        4.260273e+01
    -44.2          8.073076e+01        4.259117e+01
    -44.1          8.069044e+01        4.257917e+01
    -44.0          8.065012e+01        4.256716e+01
    -43.9          8.060980e+01        4.255516e+01
    -43.8          8.056948e+01        4.254316e+01
    -43.7          8.053015e+01        4.253014e+01
    -43.6          8.049149e+01        4.251432e+01
    -43.5          8.045284e+01        4.249850e+01
    -43.4          8.041419e+01        4.248268e+01
    -43.3          8.037553e+01        4.246686e+01
    -43.2          8.033802e+01        4.245100e+01
    -43.1          8.030120e+01        4.243440e+01
    -43.0          8.026438e+01        4.241779e+01
    -42.9          8.022755e+01        4.240119e+01
    -42.8          8.019073e+01        4.238458e+01
    -42.7          8.015243e+01        4.236805e+01
    -42.6          8.011194e+01        4.235223e+01
    -42.5          8.007145e+01        4.233641e+01
    -42.4          8.003096e+01        4.232059e+01
    -42.3          7.999047e+01        4.230477e+01
    -42.2          7.995082e+01        4.228895e+01
    -42.1          7.991225e+01        4.227083e+01
    -42.0          7.987368e+01        4.225238e+01
    -41.9          7.983511e+01        4.223394e+01
    -41.8          7.979654e+01        4.221550e+01
    -41.7          7.975676e+01        4.219705e+01
    -41.6          7.971258e+01        4.218100e+01
    -41.5          7.966841e+01        4.216518e+01
    -41.4          7.962423e+01        4.214936e+01
    -41.3          7.958006e+01        4.213354e+01
    -41.2          7.953337e+01        4.211772e+01
    -41.1          7.947903e+01        4.210329e+01
    -41.0          7.942470e+01        4.208944e+01
    -40.9          7.937036e+01        4.207560e+01
    -40.8          7.931603e+01        4.206176e+01
    -40.7          7.926150e+01        4.204792e+01
    -40.6          7.920077e+01        4.203456e+01
    -40.5          7.914004e+01        4.202138e+01
    -40.4          7.907931e+01        4.200820e+01
    -40.3          7.901858e+01        4.199501e+01
    -40.2          7.895813e+01        4.198183e+01
    -40.1          7.890203e+01        4.196686e+01
    -40.0          7.884594e+01        4.195025e+01
    -39.9          7.878984e+01        4.193364e+01
    -39.8          7.873375e+01        4.191704e+01
    -39.7          7.867765e+01        4.190043e+01
    -39.6          7.862230e+01        4.188426e+01
    -39.5          7.856710e+01        4.186844e+01
    -39.4          7.851189e+01        4.185262e+01
    -39.3          7.845668e+01        4.183680e+01
    -39.2          7.840147e+01        4.182098e+01
    -39.1          7.835314e+01        4.180521e+01
    -39.0          7.830581e+01        4.178953e+01
    -38.9          7.825848e+01        4.177384e+01
    -38.8          7.821115e+01        4.175816e+01
    -38.7          7.816381e+01        4.174247e+01
    -38.6          7.811252e+01        4.172774e+01
    -38.5          7.805916e+01        4.171456e+01
    -38.4          7.800579e+01        4.170137e+01
    -38.3          7.795242e+01        4.168819e+01
    -38.2          7.789905e+01        4.167500e+01
    -38.1          7.784622e+01        4.166139e+01
    -38.0          7.779363e+01        4.164571e+01
    -37.9          7.774105e+01        4.163003e+01
    -37.8          7.768847e+01        4.161435e+01
    -37.7          7.763588e+01        4.159867e+01
    -37.6          7.757863e+01        4.158242e+01
    -37.5          7.751606e+01        4.156397e+01
    -37.4          7.745349e+01        4.154552e+01
    -37.3          7.739092e+01        4.152707e+01
    -37.2          7.732835e+01        4.150862e+01
    -37.1          7.726815e+01        4.149017e+01
    -37.0          7.721030e+01        4.147172e+01
    -36.9          7.715246e+01        4.145327e+01
    -36.8          7.709462e+01        4.143482e+01
    -36.7          7.703678e+01        4.141638e+01
    -36.6          7.697658e+01        4.139793e+01
    -36.5          7.691032e+01        4.137948e+01
    -36.4          7.684407e+01        4.136104e+01
    -36.3          7.677781e+01        4.134259e+01
    -36.2          7.671156e+01        4.132414e+01
    -36.1          7.664411e+01        4.130570e+01
    -36.0          7.657400e+01        4.128349e+01
    -35.9          7.650390e+01        4.126044e+01
    -35.8          7.643380e+01        4.123738e+01
    -35.7          7.636370e+01        4.121433e+01
    -35.6          7.629292e+01        4.119127e+01
    -35.5          7.621563e+01        4.116542e+01
    -35.4          7.613834e+01        4.113908e+01
    -35.3          7.606105e+01        4.111273e+01
    -35.2          7.598376e+01        4.108639e+01
    -35.1          7.590649e+01        4.106005e+01
    -35.0          7.582938e+01        4.103287e+01
    -34.9          7.575227e+01        4.100521e+01
    -34.8          7.567516e+01        4.097756e+01
    -34.7          7.559804e+01        4.094990e+01
    -34.6          7.552093e+01        4.092224e+01
    -34.5          7.543699e+01        4.089458e+01
    -34.4          7.535235e+01        4.086692e+01
    -34.3          7.526771e+01        4.083926e+01
    -34.2          7.518308e+01        4.081160e+01
    -34.1          7.509844e+01        4.078394e+01
    -34.0          7.500689e+01        4.075597e+01
    -33.9          7.491488e+01        4.072787e+01
    -33.8          7.482286e+01        4.069978e+01
