                                 g_value (photons/atom/s)
Velocity (km/s)      1807.31 A           1820.34 A           1826.25 A
    -50.0          5.474108e-04        3.405145e-04        3.881580e-04
    -49.9          5.470464e-04        3.404700e-04        3.881231e-04
    -49.8          5.466821e-04        3.404256e-04        3.880882e-04
    -49.7          5.463177e-04        3.403812e-04        3.880532e-04
    -49.6          5.459533e-04        3.403367e-04        3.880183e-04
    -49.5          5.455890e-04        3.402923e-04        3.879834e-04
    -49.4          5.452246e-04        3.402478e-04        3.879484e-04
    -49.3          5.448602e-04        3.402034e-04        3.879135e-04
    -49.2          5.444959e-04        3.401589e-04        3.878786e-04
    -49.1          5.441315e-04        3.401145e-04        3.878436e-04
    -49.0          5.437672e-04        3.400701e-04        3.878087e-04
    -48.9          5.434028e-04        3.400256e-04        3.877738e-04
    -48.8          5.430384e-04        3.399812e-04        3.877388e-04
    -48.7          5.426741e-04        3.399367e-04        3.877039e-04
    -48.6          5.423097e-04        3.398923e-04        3.876690e-04
    -48.5          5.419454e-04        3.398479e-04        3.876340e-04
    -48.4          5.415810e-04        3.398034e-04        3.875991e-04
    -48.3          5.412166e-04        3.397590e-04        3.875642e-04
    -48.2          5.408523e-04        3.397145e-04        3.875292e-04
    -48.1          5.404879e-04        3.396701e-04        3.874943e-04
    -48.0          5.401236e-04        3.396256e-04        3.874593e-04
    -47.9          5.397592e-04        3.395812e-04        3.874244e-04
    -47.8          5.393949e-04        3.395368e-04        3.873895e-04
    -47.7          5.390305e-04        3.395135e-04        3.873545e-04
    -47.6          5.386662e-04        3.395030e-04        3.873196e-04
    -47.5          5.383018e-04        3.394925e-04        3.872847e-04
    -47.4          5.379375e-04        3.394821e-04        3.872498e-04
    -47.3          5.375731e-04        3.394716e-04        3.872148e-04
    -47.2          5.372088e-04        3.394612e-04        3.871799e-04
    -47.1          5.368444e-04        3.394507e-04        3.871450e-04
    -47.0          5.364801e-04        3.394403e-04        3.871101e-04
    -46.9          5.361157e-04        3.394298e-04        3.870752e-04
    -46.8          5.357514e-04        3.394193e-04        3.870402e-04
    -46.7          5.353870e-04        3.394089e-04        3.870053e-04
    -46.6          5.350227e-04        3.393984e-04        3.869704e-04
    -46.5          5.346583e-04        3.393880e-04        3.869355e-04
    -46.4          5.342940e-04        3.393775e-04        3.869006e-04
    -46.3          5.339296e-04        3.393671e-04        3.868656e-04
    -46.2          5.335653e-04        3.393566e-04        3.868307e-04
    -46.1          5.332010e-04        3.393508e-04        3.867958e-04
    -46.0          5.328366e-04        3.393743e-04        3.867609e-04
    -45.9          5.324723e-04        3.393979e-04        3.867259e-04
    -45.8          5.321079e-04        3.394214e-04        3.866910e-04
    -45.7          5.317436e-04        3.394449e-04        3.866561e-04
    -45.6          5.313793e-04        3.394684e-04        3.866212e-04
    -45.5          5.310149e-04        3.394920e-04        3.865862e-04
    -45.4          5.306506e-04        3.395155e-04        3.865513e-04
    -45.3          5.302863e-04        3.395390e-04        3.865164e-04
    -45.2          5.299219e-04        3.395626e-04        3.864814e-04
    -45.1          5.295576e-04        3.395861e-04        3.864465e-04
    -45.0          5.291933e-04        3.396096e-04        3.864116e-04
    -44.9          5.288289e-04        3.396332e-04        3.863766e-04
    -44.8          5.284646e-04        3.396567e-04        3.863417e-04
    -44.7          5.281003e-04        3.396802e-04        3.863068e-04
    -44.6          5.277359e-04        3.397038e-04        3.862718e-04
    -44.5          5.273716e-04        3.397273e-04        3.862369e-04
    -44.4          5.270073e-04        3.397508e-04        3.862020e-04
    -44.3          5.266430e-04        3.397744e-04        3.861670e-04
    -44.2          5.262787e-04        3.397979e-04        3.861321e-04
    -44.1          5.259144e-04        3.398214e-04        3.860972e-04
    -44.0          5.255500e-04        3.398449e-04        3.860622e-04
    -43.9          5.251857e-04        3.398685e-04        3.860273e-04
    -43.8          5.248214e-04        3.398920e-04        3.859924e-04
    -43.7          5.244571e-04        3.399155e-04        3.859574e-04
    -43.6          5.240928e-04        3.399391e-04        3.859225e-04
    -43.5          5.237284e-04        3.399626e-04        3.858876e-04
    -43.4          5.233641e-04        3.399861e-04        3.858527e-04
    -43.3          5.229998e-04        3.400097e-04        3.858177e-04
    -43.2          5.226355e-04        3.400332e-04        3.857828e-04
    -43.1          5.222703e-04        3.400567e-04        3.857479e-04
    -43.0          5.219014e-04        3.400803e-04        3.857129e-04
    -42.9          5.215326e-04        3.401038e-04        3.856780e-04
    -42.8          5.211638e-04        3.401273e-04        3.856431e-04
    -42.7          5.207950e-04        3.401509e-04        3.856081e-04
    -42.6          5.204262e-04        3.401744e-04        3.855732e-04
    -42.5          5.200574e-04        3.401979e-04        3.855383e-04
    -42.4          5.196886e-04        3.402214e-04        3.855034e-04
    -42.3          5.193198e-04        3.402450e-04        3.854684e-04
    -42.2          5.189510e-04        3.402685e-04        3.854335e-04
    -42.1          5.185822e-04        3.402920e-04        3.853986e-04
    -42.0          5.182134e-04        3.403156e-04        3.853636e-04
    -41.9          5.178445e-04        3.403391e-04        3.853287e-04
    -41.8          5.174757e-04        3.403626e-04        3.852938e-04
    -41.7          5.171069e-04        3.403862e-04        3.852588e-04
    -41.6          5.167381e-04        3.404097e-04        3.852239e-04
    -41.5          5.163693e-04        3.404332e-04        3.851890e-04
    -41.4          5.160041e-04        3.404568e-04        3.851540e-04
    -41.3          5.156398e-04        3.404803e-04        3.851191e-04
    -41.2          5.152755e-04        3.405038e-04        3.850842e-04
    -41.1          5.149112e-04        3.405274e-04        3.850492e-04
    -41.0          5.145469e-04        3.405509e-04        3.850143e-04
    -40.9          5.141826e-04        3.405744e-04        3.849794e-04
    -40.8          5.138183e-04        3.405980e-04        3.849445e-04
    -40.7          5.134540e-04        3.406215e-04        3.849096e-04
    -40.6          5.130897e-04        3.406450e-04        3.848747e-04
    -40.5          5.127254e-04        3.406686e-04        3.848398e-04
    -40.4          5.123611e-04        3.406921e-04        3.848048e-04
    -40.3          5.119968e-04        3.407156e-04        3.847699e-04
    -40.2          5.116325e-04        3.407392e-04        3.847350e-04
    -40.1          5.112682e-04        3.407627e-04        3.847001e-04
    -40.0          5.109039e-04        3.407863e-04        3.846652e-04
