Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      3967.0000                     5.989852e-02
      3967.0100                     5.755219e-02
      3967.0200                     5.443909e-02
      3967.0300                     5.127948e-02
      3967.0400                     4.921188e-02
      3967.0500                     4.891012e-02
      3967.0600                     5.035102e-02
      3967.0700                     5.276783e-02
      3967.0800                     5.513819e-02
      3967.0900                     5.688122e-02
      3967.1000                     5.771806e-02
      3967.1100                     5.741635e-02
      3967.1200                     5.574370e-02
      3967.1300                     5.244449e-02
      3967.1400                     4.723983e-02
      3967.1500                     4.050149e-02
      3967.1600                     3.336805e-02
      3967.1700                     2.714075e-02
      3967.1800                     2.281882e-02
      3967.1900                     2.086704e-02
      3967.2000                     2.154105e-02
      3967.2100                     2.488739e-02
      3967.2200                     3.065049e-02
      3967.2300                     3.778468e-02
      3967.2400                     4.480278e-02
      3967.2500                     5.042668e-02
      3967.2600                     5.433102e-02
      3967.2700                     5.679463e-02
      3967.2800                     5.825901e-02
      3967.2900                     5.914244e-02
      3967.3000                     5.963082e-02
      3967.3100                     5.986358e-02
      3967.3200                     6.000339e-02
      3967.3300                     6.002700e-02
      3967.3400                     5.995766e-02
      3967.3500                     5.986507e-02
      3967.3600                     5.974925e-02
      3967.3700                     5.958694e-02
      3967.3800                     5.940139e-02
      3967.3900                     5.916936e-02
      3967.4000                     5.896056e-02
      3967.4100                     5.875176e-02
      3967.4200                     5.856621e-02
      3967.4300                     5.838064e-02
      3967.4400                     5.817184e-02
      3967.4500                     5.798627e-02
      3967.4600                     5.784719e-02
      3967.4700                     5.768486e-02
      3967.4800                     5.747604e-02
      3967.4900                     5.724398e-02
      3967.5000                     5.696544e-02
      3967.5100                     5.671013e-02
      3967.5200                     5.640834e-02
      3967.5300                     5.601357e-02
      3967.5400                     5.554908e-02
      3967.5500                     5.494512e-02
      3967.5600                     5.406224e-02
      3967.5700                     5.262153e-02
      3967.5800                     5.022784e-02
      3967.5900                     4.662548e-02
      3967.6000                     4.209336e-02
      3967.6100                     3.751469e-02
      3967.6200                     3.405165e-02
      3967.6300                     3.265725e-02
      3967.6400                     3.363369e-02
      3967.6500                     3.637667e-02
      3967.6600                     3.979377e-02
      3967.6700                     4.276927e-02
      3967.6800                     4.474530e-02
      3967.6900                     4.521047e-02
      3967.7000                     4.383932e-02
      3967.7100                     4.051559e-02
      3967.7200                     3.579713e-02
      3967.7300                     3.063696e-02
      3967.7400                     2.638328e-02
      3967.7500                     2.394268e-02
      3967.7600                     2.373362e-02
      3967.7700                     2.591886e-02
      3967.7800                     3.017299e-02
      3967.7900                     3.558947e-02
      3967.8000                     4.079681e-02
      3967.8100                     4.491164e-02
      3967.8200                     4.760849e-02
