Wavelength (Angstroms)     Irradiance (photons/cm2/s/Angstrom)
      1214.2700                     4.080400e+09
      1214.2800                     3.973500e+09
      1214.2900                     4.123900e+09
      1214.3000                     4.445700e+09
      1214.3101                     4.862000e+09
      1214.3199                     5.298600e+09
      1214.3300                     5.691700e+09
      1214.3400                     5.999300e+09
      1214.3500                     6.212100e+09
      1214.3600                     6.339800e+09
      1214.3700                     6.399600e+09
      1214.3800                     6.425000e+09
      1214.3900                     6.430700e+09
      1214.4000                     6.438600e+09
      1214.4100                     6.468800e+09
      1214.4200                     6.525200e+09
      1214.4301                     6.623800e+09
      1214.4399                     6.762300e+09
      1214.4500                     6.942900e+09
      1214.4600                     7.150100e+09
      1214.4700                     7.367000e+09
      1214.4800                     7.581700e+09
      1214.4900                     7.783100e+09
      1214.5000                     7.968000e+09
      1214.5100                     8.135500e+09
      1214.5200                     8.278000e+09
      1214.5300                     8.415800e+09
      1214.5400                     8.545600e+09
      1214.5500                     8.678500e+09
      1214.5601                     8.822400e+09
      1214.5699                     8.977400e+09
      1214.5800                     9.159999e+09
      1214.5900                     9.368800e+09
      1214.6000                     9.604400e+09
      1214.6100                     9.879400e+09
      1214.6200                     1.017800e+10
      1214.6300                     1.048600e+10
      1214.6400                     1.079800e+10
      1214.6500                     1.111400e+10
      1214.6600                     1.142500e+10
      1214.6700                     1.176700e+10
      1214.6801                     1.213600e+10
      1214.6899                     1.251800e+10
      1214.7000                     1.292200e+10
      1214.7100                     1.334200e+10
      1214.7200                     1.375500e+10
      1214.7300                     1.417500e+10
      1214.7400                     1.459700e+10
      1214.7500                     1.503600e+10
      1214.7600                     1.550000e+10
      1214.7700                     1.598200e+10
      1214.7800                     1.649500e+10
      1214.7900                     1.704600e+10
      1214.8000                     1.763100e+10
      1214.8101                     1.822400e+10
      1214.8199                     1.883000e+10
      1214.8300                     1.945900e+10
      1214.8400                     2.013700e+10
      1214.8500                     2.088400e+10
      1214.8600                     2.171700e+10
      1214.8700                     2.264500e+10
      1214.8800                     2.367900e+10
      1214.8900                     2.480800e+10
      1214.9000                     2.601300e+10
      1214.9100                     2.728700e+10
      1214.9200                     2.864800e+10
      1214.9301                     3.008200e+10
      1214.9399                     3.155300e+10
      1214.9500                     3.305900e+10
      1214.9600                     3.462600e+10
      1214.9700                     3.626200e+10
      1214.9800                     3.797900e+10
      1214.9900                     3.980700e+10
      1215.0000                     4.181300e+10
      1215.0100                     4.412200e+10
      1215.0200                     4.671500e+10
      1215.0300                     4.955500e+10
      1215.0400                     5.260900e+10
      1215.0500                     5.590400e+10
      1215.0601                     5.943600e+10
      1215.0699                     6.312100e+10
      1215.0800                     6.702000e+10
      1215.0900                     7.117200e+10
      1215.1000                     7.563100e+10
      1215.1100                     8.038300e+10
      1215.1200                     8.541500e+10
      1215.1300                     9.080200e+10
      1215.1400                     9.673900e+10
      1215.1500                     1.031800e+11
      1215.1600                     1.101000e+11
      1215.1700                     1.175800e+11
      1215.1801                     1.257800e+11
      1215.1899                     1.346300e+11
      1215.2000                     1.439900e+11
      1215.2100                     1.539200e+11
      1215.2200                     1.645500e+11
      1215.2300                     1.759300e+11
      1215.2400                     1.879800e+11
      1215.2500                     2.006900e+11
      1215.2600                     2.141900e+11
      1215.2700                     2.286700e+11
      1215.2800                     2.440000e+11
      1215.2900                     2.599500e+11
      1215.3000                     2.763300e+11
      1215.3101                     2.931100e+11
      1215.3199                     3.100300e+11
      1215.3300                     3.268100e+11
      1215.3400                     3.433100e+11
      1215.3500                     3.593000e+11
      1215.3600                     3.743200e+11
      1215.3700                     3.886600e+11
      1215.3800                     4.021100e+11
      1215.3900                     4.140300e+11
      1215.4000                     4.237800e+11
      1215.4100                     4.315200e+11
      1215.4200                     4.372100e+11
      1215.4301                     4.404000e+11
      1215.4399                     4.404300e+11
      1215.4500                     4.372700e+11
      1215.4600                     4.313800e+11
      1215.4700                     4.228200e+11
      1215.4800                     4.115400e+11
      1215.4900                     3.981300e+11
      1215.5000                     3.836800e+11
      1215.5100                     3.688400e+11
      1215.5200                     3.543800e+11
      1215.5300                     3.408100e+11
      1215.5400                     3.283800e+11
      1215.5500                     3.173800e+11
      1215.5601                     3.080600e+11
      1215.5699                     3.005100e+11
      1215.5800                     2.944800e+11
      1215.5900                     2.896800e+11
      1215.6000                     2.858700e+11
      1215.6100                     2.829400e+11
      1215.6200                     2.808000e+11
      1215.6300                     2.789200e+11
      1215.6400                     2.771600e+11
      1215.6500                     2.756600e+11
      1215.6600                     2.746100e+11
      1215.6700                     2.740000e+11
      1215.6801                     2.739600e+11
      1215.6899                     2.748200e+11
      1215.7000                     2.768900e+11
      1215.7100                     2.802900e+11
      1215.7200                     2.846700e+11
      1215.7300                     2.899000e+11
      1215.7400                     2.959700e+11
      1215.7500                     3.027300e+11
      1215.7600                     3.099100e+11
      1215.7700                     3.176000e+11
      1215.7800                     3.259900e+11
      1215.7900                     3.352000e+11
      1215.8000                     3.451900e+11
      1215.8101                     3.559900e+11
      1215.8199                     3.676200e+11
      1215.8300                     3.798700e+11
      1215.8400                     3.922900e+11
      1215.8500                     4.042100e+11
      1215.8600                     4.147700e+11
      1215.8700                     4.226500e+11
      1215.8800                     4.272500e+11
      1215.8900                     4.287000e+11
      1215.9000                     4.269200e+11
      1215.9100                     4.215200e+11
      1215.9200                     4.127600e+11
      1215.9301                     4.019300e+11
      1215.9399                     3.895600e+11
      1215.9500                     3.761000e+11
      1215.9600                     3.615800e+11
      1215.9700                     3.463900e+11
      1215.9800                     3.310900e+11
      1215.9900                     3.155300e+11
      1216.0000                     2.996100e+11
      1216.0100                     2.834400e+11
      1216.0200                     2.672100e+11
      1216.0300                     2.511100e+11
      1216.0400                     2.353600e+11
      1216.0500                     2.203100e+11
      1216.0601                     2.059700e+11
      1216.0699                     1.923400e+11
      1216.0800                     1.797200e+11
      1216.0900                     1.682100e+11
      1216.1000                     1.576500e+11
      1216.1100                     1.479200e+11
      1216.1200                     1.389100e+11
      1216.1300                     1.306200e+11
      1216.1400                     1.228500e+11
      1216.1500                     1.153500e+11
      1216.1600                     1.081600e+11
      1216.1700                     1.014000e+11
      1216.1801                     9.519600e+10
      1216.1899                     8.945200e+10
      1216.2000                     8.409800e+10
      1216.2100                     7.924900e+10
      1216.2200                     7.492600e+10
      1216.2300                     7.096900e+10
      1216.2400                     6.727200e+10
      1216.2500                     6.378100e+10
      1216.2600                     6.049300e+10
      1216.2700                     5.738000e+10
      1216.2800                     5.441900e+10
      1216.2900                     5.160200e+10
      1216.3000                     4.897100e+10
      1216.3101                     4.655700e+10
      1216.3199                     4.430600e+10
      1216.3300                     4.221100e+10
      1216.3400                     4.032400e+10
      1216.3500                     3.862800e+10
      1216.3600                     3.704000e+10
      1216.3700                     3.554600e+10
