                       g_value (photons/atom/s)
Velocity (km/s)      7667.01 A           7701.08 A
    -50.0          1.375558e+02        6.951435e+01
    -49.9          1.375545e+02        6.951697e+01
    -49.8          1.375533e+02        6.951958e+01
    -49.7          1.375520e+02        6.952213e+01
    -49.6          1.375507e+02        6.952467e+01
    -49.5          1.375495e+02        6.952722e+01
    -49.4          1.375482e+02        6.952955e+01
    -49.3          1.375470e+02        6.953158e+01
    -49.2          1.375457e+02        6.953360e+01
    -49.1          1.375445e+02        6.953563e+01
    -49.0          1.375433e+02        6.953759e+01
    -48.9          1.375421e+02        6.953947e+01
    -48.8          1.375408e+02        6.954135e+01
    -48.7          1.375396e+02        6.954322e+01
    -48.6          1.375383e+02        6.954489e+01
    -48.5          1.375370e+02        6.954642e+01
    -48.4          1.375357e+02        6.954795e+01
    -48.3          1.375344e+02        6.954948e+01
    -48.2          1.375331e+02        6.955100e+01
    -48.1          1.375318e+02        6.955253e+01
    -48.0          1.375302e+02        6.955405e+01
    -47.9          1.375287e+02        6.955557e+01
    -47.8          1.375272e+02        6.955666e+01
    -47.7          1.375257e+02        6.955766e+01
    -47.6          1.375244e+02        6.955867e+01
    -47.5          1.375230e+02        6.955967e+01
    -47.4          1.375217e+02        6.956066e+01
    -47.3          1.375204e+02        6.956165e+01
    -47.2          1.375191e+02        6.956264e+01
    -47.1          1.375177e+02        6.956362e+01
    -47.0          1.375164e+02        6.956433e+01
    -46.9          1.375150e+02        6.956503e+01
    -46.8          1.375135e+02        6.956574e+01
    -46.7          1.375119e+02        6.956644e+01
    -46.6          1.375104e+02        6.956702e+01
    -46.5          1.375089e+02        6.956761e+01
    -46.4          1.375073e+02        6.956820e+01
    -46.3          1.375058e+02        6.956872e+01
    -46.2          1.375042e+02        6.956906e+01
    -46.1          1.375026e+02        6.956940e+01
    -46.0          1.375010e+02        6.956974e+01
    -45.9          1.374993e+02        6.957007e+01
    -45.8          1.374977e+02        6.957036e+01
    -45.7          1.374961e+02        6.957065e+01
    -45.6          1.374944e+02        6.957094e+01
    -45.5          1.374928e+02        6.957123e+01
    -45.4          1.374912e+02        6.957152e+01
    -45.3          1.374896e+02        6.957180e+01
    -45.2          1.374880e+02        6.957208e+01
    -45.1          1.374864e+02        6.957224e+01
    -45.0          1.374849e+02        6.957232e+01
    -44.9          1.374831e+02        6.957241e+01
    -44.8          1.374814e+02        6.957250e+01
    -44.7          1.374797e+02        6.957260e+01
    -44.6          1.374779e+02        6.957270e+01
    -44.5          1.374760e+02        6.957281e+01
    -44.4          1.374741e+02        6.957292e+01
    -44.3          1.374722e+02        6.957292e+01
    -44.2          1.374703e+02        6.957289e+01
