Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      3961.0000                     1.482242e-01
      3961.0100                     1.514425e-01
      3961.0200                     1.535960e-01
      3961.0300                     1.550552e-01
      3961.0400                     1.559589e-01
      3961.0500                     1.565155e-01
      3961.0600                     1.568637e-01
      3961.0700                     1.570267e-01
      3961.0800                     1.570509e-01
      3961.0900                     1.569593e-01
      3961.1000                     1.567752e-01
      3961.1100                     1.564753e-01
      3961.1200                     1.562448e-01
      3961.1300                     1.561070e-01
      3961.1400                     1.560849e-01
      3961.1500                     1.561553e-01
      3961.1600                     1.562026e-01
      3961.1700                     1.561574e-01
      3961.1800                     1.559269e-01
      3961.1900                     1.554881e-01
      3961.2000                     1.548872e-01
      3961.2100                     1.542169e-01
      3961.2200                     1.535003e-01
      3961.2300                     1.528300e-01
      3961.2400                     1.522291e-01
      3961.2500                     1.516977e-01
      3961.2600                     1.513051e-01
      3961.2700                     1.510746e-01
      3961.2800                     1.508904e-01
      3961.2900                     1.506599e-01
      3961.3000                     1.501516e-01
      3961.3100                     1.489950e-01
      3961.3200                     1.465884e-01
      3961.3300                     1.423065e-01
      3961.3400                     1.350612e-01
      3961.3500                     1.243201e-01
      3961.3600                     1.098979e-01
      3961.3700                     9.336864e-02
      3961.3800                     7.672345e-02
      3961.3900                     6.329611e-02
      3961.4000                     5.593430e-02
      3961.4100                     5.672183e-02
      3961.4200                     6.582090e-02
      3961.4300                     8.087018e-02
      3961.4400                     9.791074e-02
      3961.4500                     1.134235e-01
      3961.4600                     1.253709e-01
      3961.4700                     1.336604e-01
      3961.4800                     1.390790e-01
      3961.4900                     1.426455e-01
      3961.5000                     1.449849e-01
      3961.5100                     1.465371e-01
      3961.5200                     1.475337e-01
      3961.5300                     1.480903e-01
      3961.5400                     1.482765e-01
      3961.5500                     1.482543e-01
      3961.5600                     1.481395e-01
      3961.5700                     1.479552e-01
      3961.5800                     1.477247e-01
      3961.5900                     1.474478e-01
      3961.6000                     1.471246e-01
      3961.6100                     1.467782e-01
      3961.6200                     1.464318e-01
      3961.6300                     1.460623e-01
      3961.6400                     1.456233e-01
      3961.6500                     1.451612e-01
      3961.6600                     1.447221e-01
      3961.6700                     1.442831e-01
      3961.6800                     1.438441e-01
      3961.6900                     1.433819e-01
      3961.7000                     1.428271e-01
      3961.7100                     1.421102e-01
      3961.7200                     1.412544e-01
      3961.7300                     1.402595e-01
      3961.7400                     1.391026e-01
      3961.7500                     1.380615e-01
      3961.7600                     1.372287e-01
      3961.7700                     1.368128e-01
      3961.7800                     1.366979e-01
      3961.7900                     1.366756e-01
      3961.8000                     1.366070e-01
      3961.8100                     1.362837e-01
      3961.8200                     1.355899e-01
      3961.8300                     1.343402e-01
      3961.8400                     1.324653e-01
      3961.8500                     1.300577e-01
      3961.8600                     1.274416e-01
      3961.8700                     1.253118e-01
      3961.8800                     1.242242e-01
      3961.8900                     1.243408e-01
      3961.9000                     1.253143e-01
      3961.9100                     1.264962e-01
      3961.9200                     1.274003e-01
      3961.9300                     1.278411e-01
      3961.9400                     1.278420e-01
      3961.9500                     1.274491e-01
      3961.9600                     1.267088e-01
      3961.9700                     1.256211e-01
      3961.9800                     1.241165e-01
      3961.9900                     1.221718e-01
      3962.0000                     1.197871e-01
      3962.0100                     1.171243e-01
      3962.0200                     1.146237e-01
      3962.0300                     1.129569e-01
      3962.0400                     1.124017e-01
      3962.0500                     1.125646e-01
      3962.0600                     1.124727e-01
      3962.0700                     1.113848e-01
      3962.0800                     1.089304e-01
      3962.0900                     1.054105e-01
      3962.1000                     1.015199e-01
      3962.1100                     9.823150e-02
      3962.1200                     9.642547e-02
      3962.1300                     9.637977e-02
      3962.1400                     9.763119e-02
      3962.1500                     9.934588e-02
      3962.1600                     1.007132e-01
      3962.1700                     1.010844e-01
      3962.1800                     1.002512e-01
      3962.1900                     9.791234e-02
      3962.2000                     9.383616e-02
      3962.2100                     8.772152e-02
      3962.2200                     7.940621e-02
      3962.2300                     6.951563e-02
      3962.2400                     5.906899e-02
      3962.2500                     4.996574e-02
      3962.2600                     4.403592e-02
      3962.2700                     4.278531e-02
      3962.2800                     4.632983e-02
      3962.2900                     5.321015e-02
      3962.3000                     6.122566e-02
      3962.3100                     6.792085e-02
      3962.3200                     7.239224e-02
      3962.3300                     7.461662e-02
      3962.3400                     7.517308e-02
      3962.3500                     7.471025e-02
      3962.3600                     7.362193e-02
      3962.3700                     7.220927e-02
      3962.3800                     7.058809e-02
      3962.3900                     6.885106e-02
      3962.4000                     6.711400e-02
      3962.4100                     6.537693e-02
      3962.4200                     6.361666e-02
      3962.4300                     6.183320e-02
      3962.4400                     6.014239e-02
      3962.4500                     5.847472e-02
      3962.4600                     5.685337e-02
      3962.4700                     5.523200e-02
      3962.4800                     5.365694e-02
      3962.4900                     5.210502e-02
      3962.5000                     5.062260e-02
      3962.5100                     4.909381e-02
      3962.5200                     4.754184e-02
      3962.5300                     4.587401e-02
      3962.5400                     4.402080e-02
      3962.5500                     4.184320e-02
      3962.5600                     3.906317e-02
      3962.5700                     3.542585e-02
      3962.5800                     3.093121e-02
      3962.5900                     2.571825e-02
      3962.6000                     2.038938e-02
      3962.6100                     1.557017e-02
      3962.6200                     1.193258e-02
      3962.6300                     9.592463e-03
      3962.6400                     8.341327e-03
      3962.6500                     7.901142e-03
      3962.6600                     8.132900e-03
      3962.6700                     9.082956e-03
      3962.6800                     1.107572e-02
      3962.6900                     1.429657e-02
      3962.7000                     1.876872e-02
      3962.7100                     2.386655e-02
      3962.7200                     2.903397e-02
      3962.7300                     3.359898e-02
      3962.7400                     3.737622e-02
      3962.7500                     4.034248e-02
      3962.7600                     4.284533e-02
      3962.7700                     4.493112e-02
      3962.7800                     4.683156e-02
      3962.7900                     4.861615e-02
      3962.8000                     5.033125e-02
      3962.8100                     5.202321e-02
      3962.8200                     5.371518e-02
      3962.8300                     5.547669e-02
      3962.8400                     5.726141e-02
      3962.8500                     5.911566e-02
